Location Name,City,State,Stylists on Website,Stylists with Sola Pro Account,Stylists with SolaGenius Account
South Tulsa,Tulsa,Oklahoma,31,7,1
La Quinta,La Quinta,California,17,3,0
Rancho Cucamonga - Victoria Promenade,Rancho Cucamonga,California,35,17,2
Village Plaza - Bobby Jones Expy.,Augusta,Georgia,15,7,2
Albuquerque - Uptown,Albuquerque,New Mexico,24,12,4
Mason,Mason,Ohio,17,2,0
Tucson - Northwest,Tucson,Arizona,25,16,3
City Plaza,Granger,Indiana,30,20,6
Hulen Fashion Center,Fort Worth ,Texas,15,6,2
Mission Viejo,Mission Viejo,California,27,6,3
Huntington Beach,Huntington Beach,California,36,10,3
James River Towne Center,Springfield,Missouri,21,4,0
Downtown Rapid City,Rapid City,South Dakota,23,7,8
Fountain Plaza, Bentonville,Arkansas,36,13,2
San Dimas - San Dimas Station NORTH Shopping Center,San Dimas,California,39,10,3
Port Jefferson,Port Jefferson Station,New York,34,16,1
Garden City,Garden City,New York,37,15,6
Huntington,Huntington Station,New York,27,13,2
Columbiana Station,Columbia,South Carolina,34,20,4
Mentor,Mentor,Ohio,19,3,0
Otay Ranch Town Center,Chula Vista,California,27,4,3
Carlsbad,Carlsbad,California,48,20,6
Paradise Valley Village,Phoenix,Arizona,34,20,11
Preston Park Village,Plano ,Texas,21,4,0
Arboretum Crossing,Austin,Texas,29,7,5
Pompano,Pompano Beach,Florida,23,9,6
Irvine,Irvine,California,36,5,2
Sola Salons of Crofton,Crofton,Maryland,20,10,4
Maple Grove,Maple Grove,Minnesota,30,13,2
San Marcos,San Marcos,California,24,7,0
Redmond - Riverpark,Redmond,Washington,8,4,0
Towne Centre,Evansville,Indiana,39,20,3
Glastonbury,Glastonbury,Connecticut,22,7,1
Corona,Corona,California,32,4,1
Sola Parker,Parker,Colorado,26,17,2
North Academy Blvd.,Colorado Springs,Colorado,38,18,4
Village Square of Delafield,Delafield,Wisconsin,15,4,1
Crabtree Valley,Raleigh,North Carolina,32,7,2
Brandon,Brandon,Florida,13,4,0
Palm Beach Gardens,Palm Beach Gardens,Florida,26,13,1
Wellington,Wellington,Florida,26,17,4
Chenal Parkway,Little Rock,Arkansas,31,13,3
Southwest Fargo,Fargo,North Dakota,35,12,7
Greeley - St. Michaels Town Square,Greeley,Colorado,34,21,4
Carytown,Richmond,Virginia,31,8,2
Mechanicsville,Mechanicsville,Virginia,21,8,0
Tacoma - 6th Avenue,Tacoma,Washington,27,12,3
Hanover Center,Wilmington,North Carolina,22,17,10
Preston Village,Wichita,Kansas,20,5,1
Sandy ,Sandy,Utah,43,15,5
Alliance Town Center,Ft. Worth,Texas,37,14,6
Shoppes at the Village,Green Bay,Wisconsin,33,5,0
Park Ridge,Park Ridge,Illinois,31,17,2
Hibiscus Center,Naples,Florida,31,13,0
Blaine,Blaine,Minnesota,34,15,0
Auburn,Auburn,California,22,8,1
Elk Grove,Elk Grove,California,33,10,3
North Raleigh - Falls of Neuse,Raleigh,North Carolina,23,5,4
Redwood City,Redwood City,California,27,6,3
Northcross,Austin,Texas,29,6,2
NW OKC,Oklahoma City,Oklahoma,15,10,4
Birmingham,Birmingham,Michigan,34,19,2
Inverness Corners,Hoover,Alabama,21,8,3
San Antonio-Galleria Oaks Shopping Center,San Antonio,Texas,34,10,2
Dogwood Center Flowood Mississippi,Flowood,Mississippi,43,10,2
Ventura,Ventura,California,24,9,4
Sola Salons Creve Coeur,Creve Coeur,Missouri,19,3,2
"Sola Salons at Steele Crossing - Hair, Makeup, Microblading, and Skincare",Fayetteville,Arkansas,22,7,8
Webb Ginn,Snellville,Georgia,19,2,1
Pack Square,Asheville,North Carolina,27,16,8
Oak Valley Centre,Ann Arbor,Michigan,26,20,2
Arbor Hills,Ann Arbor,Michigan,27,19,5
Spring,Spring,Texas,20,12,9
Torrance,Torrance,California,23,2,1
Tysons Corner,"Tysons Corner, 22182",Virginia,17,14,2
Collins Avenue,Miami Beach,Florida,8,3,0
Williamson Square,Franklin,Tennessee,28,6,0
Atlantic Beach,Atlantic Beach,Florida,23,7,1
Mandarin,Jacksonville,Florida,28,15,1
Southdale Shopping Plaza,Glen Burnie,Maryland,22,12,2
Sugar Land,Sugar Land,Texas,25,11,4
Lemmon/Douglas Court,Dallas,Texas,32,4,0
"Arlington, Plaza at the Parks",Arlington,Texas,28,5,1
Bernard Court,Jonesboro,Arkansas,16,1,0
Nipper's Corner,Nashville,Tennessee,24,7,1
Cinco Ranch East,Katy,Texas,28,13,9
Times Corner,Fort Wayne,Indiana,25,19,9
Hamilton Corners on Gunbarrel rd.,Chattanooga,Tennessee,33,10,2
Manhattan,New York,New York,27,11,3
Owyhee,Boise,Idaho,25,10,4
Washington Square Sola,Beaverton,Oregon,29,10,2
Saint Paul,Saint Paul,Minnesota,42,5,0
Denver West,Lakewood,Colorado,36,15,0
Downtown Eugene,Eugene,Oregon,33,14,8
Medina,Medina,Ohio,24,13,3
West Covina - Covina Palms Freeway Center,West Covina,California,34,6,6
Reading,Reading,Massachusetts,24,3,3
Kirkwood Station Plaza,St. Louis,Missouri,29,10,2
Fullerton ,Fullerton,California,41,15,4
Tustin,Tustin,California,39,5,0
Moline,Moline,Illinois,3,3,0
Boynton Beach,Boynton Beach,Florida,22,14,4
Metairie,Metairie,Louisiana,15,7,3
"Avon, CT",Avon,Connecticut,18,11,1
Turkey Creek,Knoxville,Tennessee,11,3,1
Hilltop Village - Alexandria,Alexandria,Virginia,31,15,9
Cordova,Cordova,Tennessee,17,2,2
Stuart,Stuart,Florida,21,11,3
Rimrock Plaza,Billings,Montana,27,18,6
Kearny Mesa,San Diego,California,40,17,2
